Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,21,17,1,1,2,150:69,81,54
2,,Red Ants Winterthur,21,17,0,2,2,94:59,35,53
3,,piranha chur,21,13,1,2,5,118:79,39,43
4,,Zug United,21,9,2,1,9,90:78,12,32
5,,Skorpion Emmental Zollbrück,21,8,2,2,9,92:72,20,30
6,,Wizards Bern Burgdorf,21,7,4,0,10,92:100,-8,29
7,,UHC Höfen,21,2,0,0,19,53:137,-84,6
8,,FB Riders DBR,21,1,0,2,18,42:137,-95,5
