Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,21,16,2,1,2,115:54,61,53
2,,piranha chur,21,14,1,2,4,118:74,44,46
3,,Wizards Bern Burgdorf,21,13,3,1,4,119:77,42,46
4,,Red Ants Winterthur,21,8,2,2,9,87:92,-5,30
5,,Skorpion Emmental Zollbrück,21,8,2,2,9,96:110,-14,30
6,,Zug United,21,7,1,3,10,87:111,-24,26
7,,UH Red Lions Frauenfeld,21,4,1,2,14,80:125,-45,16
8,,Aergera Giffers,21,1,1,0,19,72:131,-59,5
