Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,22,17,3,1,1,172:67,105,58
2,,Grasshopper Club Zürich,22,17,2,1,2,162:97,65,56
3,,Floorball Köniz,22,14,1,2,5,158:110,48,46
4,,UHC Alligator Malans,22,13,1,2,6,146:110,36,43
5,,Zug United,22,13,2,0,7,138:119,19,43
6,,Waldkirch-St. Gallen,22,10,1,1,10,144:134,10,33
7,,HC Rychenberg Winterthur,22,8,2,5,7,118:108,10,33
8,,Chur Unihockey,22,7,2,2,11,102:141,-39,27
9,,UHC Uster,22,4,5,1,12,98:124,-26,23
10,,Tigers Langnau,22,6,0,3,13,117:135,-18,21
11,,UHC Thun,22,2,0,1,19,89:184,-95,7
12,,Ad Astra Sarnen,22,1,1,1,19,68:183,-115,6
