Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,14,11,2,0,1,81:43,38,37
2,,piranha chur,14,11,1,1,1,102:39,63,36
3,,Red Ants Winterthur,14,10,0,1,3,81:44,37,31
4,,Burgdorf Wizards,14,6,0,1,7,59:56,3,19
5,,Bern Capitals,14,3,2,2,7,52:67,-15,15
6,,FB Riders DBR,14,3,2,0,9,39:81,-42,13
7,,Zug United,14,3,0,1,10,31:68,-37,10
8,,UHC Höfen,14,2,0,1,11,41:88,-47,7
