Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,18,16,0,1,1,125:56,69,49
2,,Grasshopper Club Zürich,18,11,0,2,5,92:75,17,35
3,,UHC Alligator Malans,18,10,1,2,5,93:79,14,34
4,,Floorball Köniz,18,9,3,0,6,98:82,16,33
5,,UHC Grünenmatt,18,6,3,3,6,81:85,-4,27
6,,HC Rychenberg Winterthur,18,5,3,2,8,89:87,2,23
7,,Chur Unihockey,18,6,2,1,9,98:102,-4,23
8,,Tigers Langnau,18,6,1,1,10,89:99,-10,21
9,,Waldkirch-St. Gallen,18,5,1,1,11,74:109,-35,18
10,,UHC Lok Reinach,18,1,1,2,14,71:136,-65,7
