Rg.,Unnamed: 1,Team,Sp,SoW,S,SnV,NnV,N,T,TD,PQ,P
1,,Skorpion Emmental Zollbrück,18,0,14,2,0,2,128:58,70,2.556,46
2,,Kloten-Dietlikon Jets,18,0,13,0,1,4,92:57,35,2.222,40
3,,Zug United,18,0,12,1,2,3,101:73,28,2.222,40
4,,piranha chur,18,0,11,1,1,5,87:61,26,2.0,36
5,,Wizards Bern Burgdorf,18,0,7,2,1,8,88:77,11,1.444,26
6,,Unihockey Berner Oberland,18,0,7,2,1,8,74:70,4,1.444,26
7,,Red Ants Winterthur,18,0,5,3,2,8,80:95,-15,1.278,23
8,,UHC Laupen ZH,18,0,5,0,2,11,59:74,-15,0.944,17
9,,FB Riders DBR,18,0,2,1,1,14,62:116,-54,0.5,9
10,,Waldkirch-St. Gallen,18,0,2,0,1,15,38:128,-90,0.389,7
