Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Alligator Malans,22,18,0,1,3,175:90,85,55
2,,SV Wiler-Ersigen,22,16,2,1,3,190:128,62,53
3,,Chur Unihockey,22,15,1,1,5,160:125,35,48
4,,Floorball Köniz,22,14,2,0,6,159:103,56,46
5,,Tigers Langnau,22,15,0,0,7,160:108,52,45
6,,Grasshopper Club Zürich,22,11,3,1,7,151:127,24,40
7,,HC Rychenberg Winterthur,22,10,2,1,9,127:134,-7,35
8,,UHC Grünenmatt,22,7,1,2,12,92:137,-45,25
9,,Waldkirch-St. Gallen,22,5,0,1,16,88:163,-75,16
10,,Olten Zofingen,22,4,0,1,17,95:162,-67,13
11,,UHC Uster,22,3,0,3,16,120:173,-53,12
12,,Kloten-Bülach Jets,22,2,1,0,19,86:153,-67,8
