Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,22,17,3,0,2,144:83,61,57
2,,UHC Alligator Malans,22,15,1,0,6,162:112,50,47
3,,Grasshopper Club Zürich,22,14,1,1,6,163:118,45,45
4,,Tigers Langnau,22,13,1,3,5,155:113,42,44
5,,Floorball Köniz,22,10,3,2,7,121:105,16,38
6,,Chur Unihockey,22,11,1,2,8,122:106,16,37
7,,UHC Grünenmatt,22,8,3,1,10,125:135,-10,31
8,,Kloten-Bülach Jets,22,8,0,2,12,114:131,-17,26
9,,Waldkirch-St. Gallen,22,6,2,1,13,110:141,-31,23
10,,UHC Uster,22,6,1,1,14,88:132,-44,21
11,,HC Rychenberg Winterthur,22,6,0,2,14,116:139,-23,20
12,,UHC Lok Reinach,22,2,0,1,19,78:183,-105,7
