Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,18,16,1,0,1,147:53,94,50
2,,UHC Dietlikon,18,15,1,0,2,138:64,74,47
3,,Wizards Bern Burgdorf,18,12,1,2,3,104:72,32,40
4,,Red Ants Winterthur,18,11,0,1,6,97:69,28,34
5,,Skorpion Emmental Zollbrück,18,11,0,1,6,107:84,23,34
6,,Unihockey Berner Oberland,18,7,1,0,10,67:83,-16,23
7,,Aergera Giffers,18,4,2,0,12,69:104,-35,16
8,,UH Red Lions Frauenfeld,18,3,0,2,13,57:123,-66,11
9,,Waldkirch-St. Gallen,18,1,2,1,14,49:119,-70,8
10,,Zug United,18,2,0,1,15,50:114,-64,7
