Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,21,17,2,0,2,159:66,93,55
2,,UHC Dietlikon,21,17,1,0,3,174:73,101,53
3,,Skorpion Emmental Zollbrück,21,13,1,0,7,87:59,28,41
4,,Wizards Bern Burgdorf,21,11,0,1,9,107:85,22,34
5,,Aergera Giffers,21,7,2,0,12,67:122,-55,25
6,,Red Ants Winterthur,21,7,0,3,11,71:95,-24,24
7,,Zug United,21,3,0,4,14,68:124,-56,13
8,,FB Riders DBR,21,1,2,0,18,42:151,-109,7
