Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,Grasshopper Club Zürich,22,16,2,0,4,141:76,65,52
2,,SV Wiler-Ersigen,22,15,1,0,6,144:89,55,47
3,,Floorball Köniz,22,12,3,0,7,113:99,14,42
4,,UHC Alligator Malans,22,11,3,1,7,133:92,41,40
5,,Chur Unihockey,22,10,2,3,7,119:119,0,37
6,,Zug United,22,11,1,0,10,144:136,8,35
7,,UHC Uster,22,10,2,1,9,101:110,-9,35
8,,HC Rychenberg Winterthur,22,8,2,2,10,111:134,-23,30
9,,Tigers Langnau,22,8,0,4,10,115:130,-15,28
10,,Waldkirch-St. Gallen,22,8,0,3,11,100:128,-28,27
11,,UHC Thun,22,2,3,1,16,98:143,-45,13
12,,Kloten-Dietlikon Jets,22,2,0,4,16,103:166,-63,10
