Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,18,16,0,0,1,128:61,67,50
2,,Floorball Köniz,18,13,1,0,4,132:68,64,41
3,,Tigers Langnau,18,13,1,0,4,117:69,48,41
4,,UHC Alligator Malans,18,12,0,0,6,95:79,16,36
5,,HC Rychenberg Winterthur,18,5,3,0,9,87:90,-3,23
6,,Grasshopper Club Zürich,18,6,1,2,9,71:88,-17,22
7,,Chur Unihockey,18,6,0,3,9,89:108,-19,21
8,,Waldkirch-St. Gallen,18,5,1,0,11,62:101,-39,19
9,,UHC Grünenmatt,18,4,0,2,11,79:118,-39,16
10,,UHC Uster,18,1,0,0,17,60:138,-78,3
