Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,18,17,1,0,0,106:29,77,53
2,,Red Ants Winterthur,18,10,2,0,4,83:35,48,38
3,,Zug United,18,11,0,0,6,69:44,25,35
4,,piranha chur,18,9,2,0,6,77:53,24,33
5,,Bern Capitals,18,9,0,1,7,87:51,36,30
6,,FB Riders DBR,18,7,0,2,8,73:80,-7,25
7,,Burgdorf Wizards,18,7,0,2,9,70:70,0,23
8,,UHC Höfen,18,5,1,0,11,42:84,-42,19
9,,Kloten-Bülach Jets,18,5,0,1,11,56:77,-21,18
10,,Gurmels Sense-See,18,0,0,0,18,5:145,-140,0
