Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,22,17,1,1,3,155:87,68,54
2,,Floorball Köniz,22,13,4,2,3,176:110,66,49
3,,Tigers Langnau,22,13,2,3,4,170:130,40,46
4,,Grasshopper Club Zürich,22,13,1,1,7,175:125,50,42
5,,UHC Alligator Malans,22,11,2,1,8,145:129,16,38
6,,HC Rychenberg Winterthur,22,9,2,1,10,137:139,-2,32
7,,Zug United,22,9,0,3,10,135:152,-17,30
8,,UHC Uster,22,7,3,2,10,124:139,-15,29
9,,Waldkirch-St. Gallen,22,6,3,1,12,121:165,-44,25
10,,Chur Unihockey,22,6,1,1,14,114:165,-51,21
11,,UHC Thun,22,5,0,0,17,104:152,-48,15
12,,Kloten-Bülach Jets,22,4,0,3,15,101:164,-63,15
