Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,14,13,0,0,1,99:24,75,39
2,,Red Ants Winterthur,14,12,0,0,1,87:45,42,38
3,,piranha chur,14,9,1,0,3,93:44,49,31
4,,FB Riders DBR,14,5,2,0,7,49:65,-16,19
5,,Zug United,14,5,0,1,8,42:64,-22,16
6,,Bern Capitals,14,5,0,1,8,46:75,-29,16
7,,Burgdorf Wizards,14,3,0,1,10,50:68,-18,10
8,,UHC Höfen,14,0,0,0,14,26:107,-81,0
