Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,18,15,0,0,2,113:57,56,47
2,,Floorball Köniz,18,13,0,1,2,137:75,62,44
3,,Tigers Langnau,18,11,0,0,6,112:69,43,35
4,,UHC Alligator Malans,18,11,0,0,6,114:84,30,35
5,,Grasshopper Club Zürich,18,11,0,0,6,105:84,21,35
6,,UHC Grünenmatt,18,6,1,1,9,100:110,-10,23
7,,UHC Uster,18,5,2,0,11,103:101,2,19
8,,HC Rychenberg Winterthur,18,5,1,2,10,74:99,-25,19
9,,Chur Unihockey,18,4,1,1,11,99:118,-19,17
10,,Basel Magic,18,0,0,0,18,45:205,-160,0
