Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,21,16,3,0,2,143:82,61,54
2,,Skorpion Emmental Zollbrück,21,15,2,1,3,109:61,48,50
3,,piranha chur,21,15,0,2,4,104:62,42,47
4,,Red Ants Winterthur,21,12,0,1,8,95:77,18,37
5,,Wizards Bern Burgdorf,21,9,0,0,12,82:96,-14,27
6,,Zug United,21,6,1,1,13,78:113,-35,21
7,,Aergera Giffers,21,4,1,1,15,93:123,-30,15
8,,Unihockey Berner Oberland,21,0,0,1,20,51:141,-90,1
