Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,22,15,2,2,3,161:106,55,51
2,,UHC Alligator Malans,22,14,2,3,3,141:97,44,49
3,,Grasshopper Club Zürich,22,14,2,0,6,161:117,44,46
4,,Chur Unihockey,22,13,2,1,6,141:116,25,44
5,,Floorball Köniz,22,11,4,2,5,158:110,48,43
6,,Tigers Langnau,22,12,1,1,8,130:93,37,39
7,,HC Rychenberg Winterthur,22,11,0,2,9,151:130,21,35
8,,UHC Grünenmatt,22,10,2,1,9,144:140,4,35
9,,UHC Thun,22,6,0,3,13,114:164,-50,21
10,,Kloten-Bülach Jets,22,3,2,0,17,84:157,-73,13
11,,UHC Uster,22,1,3,3,15,95:168,-73,12
12,,Waldkirch-St. Gallen,22,1,1,3,17,78:160,-82,8
