Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,UHC Dietlikon,14,10,0,0,2,83:36,47,34
2,,piranha chur,14,9,0,1,2,74:26,48,32
3,,Zug United,14,9,0,0,3,61:29,32,31
4,,Red Ants Winterthur,14,7,1,0,2,61:37,24,31
5,,FB Riders DBR,14,7,0,0,6,66:63,3,23
6,,Bern Capitals,14,3,0,1,9,49:70,-21,12
7,,Burgdorf Wizards,14,3,1,0,10,34:68,-34,11
8,,Unihockey Leimental,14,0,0,0,14,25:124,-99,0
