Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,14,13,0,1,0,105:36,69,40
2,,Red Ants Winterthur,14,11,1,0,2,95:34,61,35
3,,UHC Dietlikon,14,9,0,0,5,64:51,13,27
4,,Bern Capitals,14,7,0,0,7,62:75,-13,21
5,,Zug United,14,4,1,1,8,52:63,-11,15
6,,Burgdorf Wizards,14,5,0,0,9,39:63,-24,15
7,,FB Riders DBR,14,2,1,1,10,31:79,-48,9
8,,UHC Höfen,14,1,1,1,11,43:90,-47,6
