Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,21,19,0,0,2,151:59,92,57
2,,UHC Dietlikon,21,16,0,1,4,121:75,46,49
3,,Red Ants Winterthur,21,14,0,0,7,96:62,34,42
4,,Zug United,21,8,3,0,10,66:84,-18,30
5,,Burgdorf Wizards,21,7,1,2,11,70:86,-16,25
6,,FB Riders DBR,21,7,1,0,13,74:102,-28,23
7,,Bern Capitals,21,5,0,0,16,79:124,-45,15
8,,UHC Höfen,21,3,0,2,16,47:112,-65,11
