Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,18,14,1,0,2,135:70,65,46
2,,UHC Alligator Malans,18,13,0,1,4,116:72,44,40
3,,Tigers Langnau,18,11,1,0,6,113:83,30,35
4,,HC Rychenberg Winterthur,18,8,1,1,8,83:85,-2,27
5,,Chur Unihockey,18,7,1,2,7,89:106,-17,27
6,,Grasshopper Club Zürich,18,6,2,0,8,82:93,-11,26
7,,Floorball Köniz,18,7,1,1,9,110:102,8,24
8,,UHC Uster,18,5,1,0,11,69:105,-36,19
9,,Basel Magic,18,4,1,3,10,94:124,-30,17
10,,UHC Lok Reinach,18,3,0,1,13,72:123,-51,12
