Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,18,13,1,1,3,138:59,79,42
2,,Kloten-Dietlikon Jets,18,13,1,0,4,151:55,96,41
3,,Wizards Bern Burgdorf,18,12,1,0,5,116:51,65,38
4,,Skorpion Emmental Zollbrück,18,11,0,3,4,100:66,34,36
5,,Unihockey Berner Oberland,18,10,2,1,5,92:62,30,35
6,,Red Ants Winterthur,18,8,1,0,9,73:65,8,26
7,,UHC Laupen ZH,18,8,0,1,9,85:86,-1,25
8,,Zug United,18,5,0,0,13,60:101,-41,15
9,,SU Mendrisiotto,18,2,0,0,16,42:176,-134,6
10,,UH Red Lions Frauenfeld,18,2,0,0,16,52:188,-136,6
