Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,21,17,2,0,2,167:63,104,55
2,,UHC Dietlikon,21,16,0,1,4,147:77,70,49
3,,Zug United,21,13,2,0,6,98:72,26,43
4,,Red Ants Winterthur,21,12,1,1,7,89:57,32,39
5,,FB Riders DBR,21,9,0,4,8,99:99,0,31
6,,Burgdorf Wizards,21,5,0,1,15,79:129,-50,16
7,,UHC Höfen,21,4,1,0,16,73:142,-69,14
8,,Bern Capitals,21,1,1,0,19,51:164,-113,5
