Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,Tigers Langnau,22,19,1,1,1,166:92,74,60
2,,SV Wiler-Ersigen,22,16,2,2,2,169:99,70,54
3,,Grasshopper Club Zürich,22,13,2,2,5,158:126,32,45
4,,Chur Unihockey,22,11,3,0,8,134:130,4,39
5,,UHC Alligator Malans,22,9,4,3,6,146:108,38,38
6,,Floorball Köniz,22,12,0,2,8,136:116,20,38
7,,Kloten-Bülach Jets,22,9,0,1,12,93:122,-29,28
8,,HC Rychenberg Winterthur,22,7,2,1,12,103:118,-15,26
9,,UHC Grünenmatt,22,7,2,1,12,98:138,-40,26
10,,UHC Uster,22,6,0,0,16,115:134,-19,18
11,,Waldkirch-St. Gallen,22,3,1,3,15,87:140,-53,14
12,,Olten Zofingen,22,3,0,1,18,82:164,-82,10
